Company Name,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22
3556,17.58,28.24,17.16,24.31,24.62,27.23,30.06,45.89,9.66,4.51,23.31,17.2,398.24,292.53,32.83,24.71,6.2,47.45,0.83,1.96,167.02,230580
3567,21.33,45.61,10.49,24.75,24.75,18.93,13.33,178.06,7.53,24.9,41.68,38.04,275.25,260.75,13.61,11.98,3.77,18.93,0.62,0,1.02,61666
3581,6.88,13.29,7.24,9.33,9.76,7.8,29.28,-9.39,-4.57,-2.87,28.69,17.82,197.24,128.81,82.28,45.14,3.03,87.19,0.75,2.2,9.49,26723
3675,8.2,18.56,7.16,9.33,8.21,6.11,17.29,26.27,-0.21,32.84,10.27,-10.58,122.35,84.55,157.76,61.2,4.43,57.57,0.59,4.38,1.05,133297
3680,17.09,43.49,22.43,6.84,36.04,5.95,27.55,12.89,7.93,21.47,-19.27,168.37,167.93,92.63,119.39,54.42,9.03,40.38,0.44,2,2.03,-675338
3707,1.14,2.61,-8.46,-9.19,-9.38,-8.13,8.34,0.3,3.77,-280.75,-3.22,-3.41,218.09,135.7,77.04,43.52,4.53,55.5,0.64,4.06,1.74,74559
4945,11.31,20.17,9.35,18.44,17.36,29.36,27.77,29.91,16.15,26.36,66.71,29.42,742.52,616.83,17.89,15.18,4.96,33.15,0.75,4.49,55.03,29073
4966,20.52,27.39,17.93,24.02,24.26,28.72,20.24,94.4,24.07,29.83,47.37,41.93,418.36,347.86,22.45,18.34,9.93,22.56,1,7.94,45.31,2268041
4971,5.32,16.21,-1.84,2.07,1.9,1.59,24.84,57.89,-8.96,-29.08,-84.5,-85.46,369.18,227.65,10.39,9.41,6.6,18.86,0.42,3.1,0.62,61845
4973,3.5,2.88,-3.45,1.03,1.93,3.82,11.93,23.44,13.17,-6.23,-47.15,-30.91,215.71,111.95,51.03,33.79,8.84,74.03,1.61,4.5,17.46,81373
4991,2.75,9.81,-2.48,15.43,1.28,9.29,28.05,133.07,-13.13,-13.58,-9.85,-93.08,780.89,548.19,12.04,10.74,5.97,15.25,0.38,2.39,2.01,668055
5272,1.6,5.61,-4.93,-12.54,-9.72,-4.74,56.86,39.4,-16.76,-24.24,-647.16,-752.89,568.34,391.29,21.17,17.47,7.55,16.67,0.38,2.28,0.88,34967
5274,30.83,47.28,28.62,41.58,40.63,52.01,21.22,97.67,34.34,32.82,37.51,28.97,296.53,262.71,38.55,27.83,5.54,28.78,0.87,6.36,23.5,692073
5299,19.91,21.76,21.16,21.33,20.66,27.36,11.25,61.08,9.34,7.08,18.86,9.37,274.41,108.72,43.74,30.43,6.5,60.69,1.22,3.5,11.71,206224
5302,-1.63,-143.79,-2.77,-286.97,-199.96,-29.91,318.52,-15.59,-48.95,-62.53,0.81,10.58,37,29.33,23.09,18.76,6.9,0.96,0.02,1.4,0.13,6160
5314,-7.86,-111.13,-8.43,-125.06,-127.71,-26.59,171.61,-609.78,-62.3,-66.47,-84.76,-184.66,3973.29,3679.27,9.36,8.56,37.57,5.2,0.1,1.65,0.48,-3352
5344,14.26,32.75,5.84,8.89,10.71,4.29,10.14,58.22,66,469.5,160.07,182.67,256.36,252.33,26.79,21.13,4.55,19.09,0.58,792.14,1.29,41487
5347,19,32.54,13.02,21.15,21.65,22.68,11.6,74.74,16.53,4.02,0.8,-4.42,201.01,169.87,43.84,30.48,6.25,29.67,0.78,7.32,2.47,4582015
5351,1.06,2.36,-8.09,-6.44,-6.92,-6.34,24.2,1.93,-1.65,18.35,60.28,57.47,178.46,83.94,147.97,59.67,4.19,108.51,0.59,1.71,4.59,302774
5425,10.55,20.65,7.41,11.05,11.65,10.37,18.75,20.18,-4.7,-11.32,-12.36,-7.35,155.72,104.34,98.47,49.61,4.74,52.51,0.69,3.92,2.21,245751
5468,4.41,12.01,-2.88,-9.95,-2.68,-7.8,43.59,-8.18,4.84,25.2,76.08,91.84,79.41,37.87,130.86,56.68,14.51,32.64,0.46,2.86,0.96,-90354
5483,14.89,36.3,17.32,25.65,26.39,15.91,8.74,28.32,-9.1,12.86,19.98,16.59,160.51,114.61,124.94,55.54,7.07,34.63,0.56,5.15,1.47,10799795
5487,7.2,13.3,5.96,13.23,12.57,9.29,16.67,7.05,18.95,38.26,512.39,-30,675.71,481.75,23.2,18.83,5.06,34.96,0.72,4.51,4.63,7007
6103,-4.46,-201.21,-22.36,-136.98,-262.38,-2.42,163.28,123.27,-99.35,-95.07,-155.5,-377.06,139.81,132.15,208.89,67.63,134.37,4.98,0.03,2.61,0.81,842
6104,15.91,19.15,19.13,16.3,15.81,17.31,30.22,14.96,36.4,28.31,91.21,75.61,155.16,79.56,63.23,38.74,9.55,47.4,1.11,4.14,2.85,224120
6129,-1.39,-4.56,-5.58,-8,-10.39,-4.81,43.28,43.73,-10.86,-14.76,-9.8,-245.5,532.58,417.35,18.23,15.42,4.8,26.65,0.45,2.4,2.18,109003
6138,15,14.73,15.62,11.29,12.02,17.53,18.34,73.58,19.6,14.75,33.06,24.89,303.68,218.05,46.24,31.62,4.84,73.58,1.36,3.89,12.9,336138
6147,14.64,36.05,8.91,21.2,20.06,17.45,6.59,39.35,6.28,-11.5,-15.45,-22.08,232.31,204.38,28.78,22.35,4.78,20.92,0.55,13.13,1.32,3731959
6182,7.92,32.56,4.41,10.75,14.12,3.49,16.47,36.18,-7.77,-34.71,-51.43,-47.29,188.79,125.33,80.15,44.49,4.42,28.82,0.32,2.55,0.66,734157
6198,-14.93,-58.15,-19.73,-62.99,-64.35,-39.96,121.9,-86.06,28.11,7.83,18.02,6.59,442.52,354.16,20.22,16.82,107.83,10.35,0.34,1.33,87.42,1105
6223,13.44,25.28,11.49,15.74,15.63,11.48,28.28,30.08,10.6,23.86,132.19,112.95,226.86,107.55,52.74,34.53,4.72,65.27,0.71,1.42,1.97,-6389
6229,5.5,4,8.95,2.29,3.33,6.26,13.09,5.6,5.6,-1.26,64.86,60.19,143.87,110.94,97.16,49.28,9.81,64.58,1.83,13.08,66.44,150304
6233,1.55,5.82,0.6,-3.33,1.77,-1.47,51.42,23.62,-1.28,-1.37,12.32,-7.2,795.91,692.59,13.24,11.69,5.92,14.25,0.35,3.19,3.66,59629
6237,6.36,20.31,6.53,8.88,19.07,3.17,42.18,68.3,78,71.16,153.25,519.39,499.64,442.97,10.5,9.5,10.38,9.52,0.42,5.97,2.66,23287
6261,12.29,37.11,7.31,20.8,22.09,11.97,15.57,40.07,11.7,50.76,148.21,62.21,286.7,242.79,26.27,20.81,3.38,26.67,0.46,4.39,1.64,889494
6287,-3.4,-4.77,-76.09,-10.95,-13.38,-15.03,3.96,-11.98,8.88,45.29,42.78,37.8,73.51,39.43,1302.13,92.87,3.54,739.92,0.84,3.24,3.42,-11547
6291,9.78,11.52,12.26,10.64,11.1,3.09,18.97,31.53,24.59,73.08,155.78,170.83,414.82,298.25,28.02,21.89,8.61,45.82,1.13,3.4,214.02,-93
6411,12.01,19.85,11.45,17.98,18.02,17.69,18.36,26.58,14.66,-1.54,1.13,-8.18,365.16,254.42,28.18,21.99,4.5,39,0.81,4.54,6.03,-87534
6435,13.71,10.58,18.62,8.62,9.6,14.51,9.13,69.82,18.6,7.82,-2.98,-5.45,244.53,153.99,59.12,37.15,5.46,103.33,1.73,3.73,41.5,133941
6457,28.27,24.83,25.76,21.54,21.84,43.48,22.34,51.21,73.91,91.76,307.91,335.05,362.81,270.63,40.74,28.95,6.93,59.57,1.52,4.98,28.95,51697
6462,16.1,17.29,22.27,16.49,15.22,28.5,28.02,26.84,-6.35,1.14,8.88,-6.51,225.42,140.6,82.08,45.08,9.93,44.19,1.25,7.28,91.02,1251601
6485,2.75,5.7,0.44,-3.09,1.11,0.95,52.04,9.16,-20.88,-21.67,-133.41,-87.7,348.87,214.65,34.6,25.7,3.5,67.99,0.64,1.06,9.61,32740
6488,17.09,39.91,20.2,29.38,30.12,18.27,8.06,32.6,-7.55,-12.71,-13.76,-15.38,168.49,122.13,115.45,53.58,6.68,36.39,0.58,4.84,1.54,11306283
6494,16.72,18.83,10.49,11.9,11.38,19.9,28.77,60.1,-2.43,7.28,22.54,13.86,427.9,340.09,30.6,23.43,7.63,46.59,1.19,3.89,17.57,85831
6510,14.65,36.45,10.52,28.02,27.81,15.62,25.76,91.96,32.79,35.61,57.26,51.07,345.77,296.28,16.98,14.52,5.18,17.09,0.54,4.3,1.08,299684
6532,15.43,29.65,14.32,28.47,27.39,19.48,11.47,71.28,31.71,54.16,79.48,54.78,469.88,366.26,26.04,20.66,6.53,29.33,0.7,2.65,2.51,-191613
6548,10.71,16.82,11.54,9.35,9.88,9.92,8.5,29.94,1.68,10.24,6.98,1.67,271.9,179.05,119.67,54.48,4.71,62.48,0.84,5.84,4.31,-315548
6568,10.68,23.68,8.13,19.19,19.41,12.37,27.29,49.76,-14.38,-18.87,-36.51,-37.53,476.18,423.85,20.71,17.16,10.88,17.12,0.6,3.94,4.35,190613
6594,9.71,15.07,5.93,6.61,8.05,6.52,36.68,29.75,10.51,4.47,13.05,13.44,363.44,310.89,43.11,30.12,7.72,34.25,0.86,4.7,35.91,36231
6640,5.29,14.43,7.48,9.01,10.12,5.82,28.6,6.64,6.49,10.24,-35.38,-34.98,192.88,152.88,110.42,52.48,2.72,71.71,0.48,2.2,4.14,72682
6643,16.91,39.87,15.87,38.46,35.19,45.15,61.54,119.33,8.98,8.98,4.18,-8.65,709.29,671.03,13.83,12.15,4.85,13.93,0.57,0,5.13,306359
6651,12.01,13.04,16.04,12.84,11.52,16.77,16.84,7.08,13.56,8.77,24.5,17.3,221.5,151.52,91.46,47.77,3.13,127.66,1.23,3.12,36.24,3416
6679,20.95,20.97,19.22,19.77,19.42,27.52,13.99,51.21,31.46,48.06,95.43,87.78,472.79,277.68,25.55,20.35,5.05,79.88,1.33,2.72,34.22,199371
